category,location_type,location,context,outcome_status,persistent_id,id,location_subtype,month
anti-social-behaviour,Force,"{'latitude': '53.796834', 'street': {'id': 2123218, 'name': 'On or near Bus/coach Station'}, 'longitude': '-1.535886'}",,,,135255905,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.800733', 'street': {'id': 2122158, 'name': 'On or near Oxford Row'}, 'longitude': '-1.551053'}",,,,135255824,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.804558', 'street': {'id': 2120730, 'name': 'On or near Willow Close'}, 'longitude': '-1.572194'}",,,,135255813,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.794167', 'street': {'id': 2122436, 'name': 'On or near Shopping Area'}, 'longitude': '-1.547586'}",,,,135255655,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.796697', 'street': {'id': 2122478, 'name': 'On or near Lower Basinghall Street'}, 'longitude': '-1.546359'}",,,,135254650,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.803337', 'street': {'id': 2122564, 'name': 'On or near Queen Square'}, 'longitude': '-1.545604'}",,,,135254659,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.814183', 'street': {'id': 2121923, 'name': 'On or near Woodhouse Street'}, 'longitude': '-1.554554'}",,,,135254695,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.798896', 'street': {'id': 2122734, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-1.543208'}",,,,135254726,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.790787', 'street': {'id': 2122428, 'name': 'On or near Victoria Road'}, 'longitude': '-1.547379'}",,,,135254912,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.796278', 'street': {'id': 2123053, 'name': 'On or near Harper Street'}, 'longitude': '-1.537756'}",,,,135254925,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.804869', 'street': {'id': 2122439, 'name': 'On or near Parking Area'}, 'longitude': '-1.546909'}",,,,135254933,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.798950', 'street': {'id': 2123366, 'name': 'On or near Playhouse Square'}, 'longitude': '-1.533840'}",,,,135254943,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.794244', 'street': {'id': 2123310, 'name': 'On or near The Chandlers'}, 'longitude': '-1.534818'}",,,,135254953,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.800712', 'street': {'id': 2122862, 'name': 'On or near Cross Belgrave Street'}, 'longitude': '-1.540865'}",,,,135255003,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.800859', 'street': {'id': 2122019, 'name': 'On or near Leighton Place'}, 'longitude': '-1.553587'}",,,,135255017,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.799037', 'street': {'id': 2122429, 'name': 'On or near South Parade'}, 'longitude': '-1.547108'}",,,,135255018,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.794273', 'street': {'id': 2122619, 'name': 'On or near Parking Area'}, 'longitude': '-1.544761'}",,,,135255035,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.798896', 'street': {'id': 2122734, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-1.543208'}",,,,135255109,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.801873', 'street': {'id': 2122002, 'name': ""On or near St George's Road""}, 'longitude': '-1.553257'}",,,,135255118,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.798710', 'street': {'id': 2123176, 'name': 'On or near Eastgate'}, 'longitude': '-1.536894'}",,,,135255148,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.795221', 'street': {'id': 2121327, 'name': 'On or near Gotts Road'}, 'longitude': '-1.562725'}",,,,135255156,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.803337', 'street': {'id': 2122564, 'name': 'On or near Queen Square'}, 'longitude': '-1.545604'}",,,,135255266,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.801445', 'street': {'id': 2122062, 'name': 'On or near Hospital'}, 'longitude': '-1.551744'}",,,,135255275,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.791175', 'street': {'id': 2122270, 'name': 'On or near Front Street'}, 'longitude': '-1.550153'}",,,,135255368,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.797743', 'street': {'id': 2122451, 'name': 'On or near Park Row'}, 'longitude': '-1.547061'}",,,,135255370,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.798896', 'street': {'id': 2122734, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-1.543208'}",,,,135255403,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.798896', 'street': {'id': 2122734, 'name': 'On or near Theatre/concert Hall'}, 'longitude': '-1.543208'}",,,,135255409,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.796033', 'street': {'id': 2122740, 'name': 'On or near Duncan Street'}, 'longitude': '-1.541964'}",,,,135255448,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.800447', 'street': {'id': 2121593, 'name': 'On or near Further/higher Educational Building'}, 'longitude': '-1.559012'}",,,,135255479,,2026-05
anti-social-behaviour,Force,"{'latitude': '53.808651', 'street': {'id': 2122855, 'name': 'On or near Oatland Lane'}, 'longitude': '-1.541568'}",,,,135255480,,2026-05
